region,income,n,observed,predicted,ci_lo,ci_hi
South,Under $40k,53,0.4287,0.4003,0.2317,0.5688
South,$40k–$80k,130,0.332,0.3359,0.2321,0.4396
South,Over $80k,242,0.2342,0.2759,0.204,0.3479
Midwest,Under $40k,23,0.3777,0.4368,0.1778,0.6958
Midwest,$40k–$80k,78,0.4247,0.3922,0.2537,0.5306
Midwest,Over $80k,151,0.3394,0.3165,0.2217,0.4113
Northeast,Under $40k,18,0.4905,0.4497,0.1561,0.7434
Northeast,$40k–$80k,42,0.355,0.3709,0.1842,0.5575
Northeast,Over $80k,105,0.2862,0.3062,0.1936,0.4189
West,Under $40k,33,0.541,0.4064,0.1923,0.6205
West,$40k–$80k,70,0.2985,0.3292,0.1886,0.4699
West,Over $80k,165,0.2455,0.2643,0.1784,0.3503
